TCM_symptom_id,TCM_symptom_name,status,updated,message
908,舌尖红,ok,yes,
910,舌糜烂,ok,yes,
897,少痰,ok,yes,
917,舌体肿,ok,yes,
912,舌偏红,ok,yes,
920,舌有瘀点瘀斑,ok,yes,
921,舌瘀斑,ok,yes,
916,舌体胖大,ok,yes,
924,舌质淡暗,ok,yes,
923,舌质黯,ok,yes,
925,舌质红少津,ok,yes,
927,舌质有瘀斑,ok,yes,
926,舌质红少苔,ok,yes,
928,舌质紫暗,ok,yes,
918,舌有齿痕,ok,yes,
929,舌紫暗,ok,yes,
932,身倦,ok,yes,
931,身黄,ok,yes,
933,身困重,ok,yes,
936,身瘦,ok,yes,
934,身目发黄,ok,yes,
938,身体倦懒,ok,yes,
939,身体麻木,ok,yes,
940,身体痩弱,ok,yes,
943,身痛痉挛,ok,yes,
960,神志昏迷,ok,yes,
953,神倦懒言,ok,yes,
955,神情呆滞,ok,yes,
946,神昏狂躁,ok,yes,
930,蛇虫咬伤,ok,yes,
964,肾区冷痛、,ok,yes,
965,声带充血,ok,yes,
945,神昏不语,ok,yes,
976,湿热毒邪聚结肌肤,ok,yes,
961,神志混乱,ok,yes,
980,十二指肠溃疡出血,ok,yes,
983,时有隐痛,ok,yes,
984,食后腹胀拒按,ok,yes,
973,湿痹拘挛,ok,yes,
975,湿疮脓水浸淫,ok,yes,
979,湿疹瘙痒,ok,yes,
985,食后胀痛,ok,yes,
982,石淋涩痛,ok,yes,
989,食乳不化,ok,yes,
988,食积胀满,ok,yes,
991,食少不化,ok,yes,
987,食积不消,ok,yes,
998,食滞不化,ok,yes,
999,食滞化热,ok,yes,
1001,视力减退,ok,yes,
1004,视物不清,ok,yes,
1000,视觉异常,ok,yes,
1005,视物昏暗,ok,yes,
994,食物积滞,ok,yes,
992,食少乏力,ok,yes,
993,食少腹胀,ok,yes,
1009,手抽搐,ok,yes,
1010,手拘挛,ok,yes,
1016,手足不温,ok,yes,
1017,手足发凉,ok,yes,
1012,手术出血,ok,yes,
1023,双目上吊,ok,yes,
1018,手足麻木症,ok,yes,
1019,手足瘈疲,ok,yes,
1024,双乳痛,ok,yes,
1011,手麻木,ok,yes,
1028,睡卧不安,ok,yes,
1025,水浆难下,ok,yes,
1015,手足不遂,ok,yes,
1021,暑邪发热,ok,yes,
1034,四肢关节冷痛,ok,yes,
1038,四肢厥逆,ok,yes,
1045,四肢酸懒,ok,yes,
1033,四肢浮肿,ok,yes,
1037,四肢倦乏,ok,yes,
1039,四肢挛急,ok,yes,
1049,嗖痛,ok,yes,
1040,四肢挛痛,ok,yes,
1044,四肢酸,ok,yes,
1056,痰白,ok,yes,
1048,四肢无力,ok,yes,
1057,痰白质稀,ok,yes,
1058,痰不易出,ok,yes,
1053,胎漏下血,ok,yes,
1041,四肢麻痹,ok,yes,
1054,胎盘不下,ok,yes,
1061,痰稠难出,ok,yes,
1064,痰多黄稠,ok,yes,
1066,痰多淸稀,ok,yes,
1067,痰多上气,ok,yes,
1068,痰多作喘,ok,yes,
1065,痰多咳嗽,ok,yes,
1059,痰稠,ok,yes,
1072,痰黄稠黏,ok,yes,
1060,痰稠黄,ok,yes,
1073,痰黄黏稠,ok,yes,
1071,痰黄稠,ok,yes,
1077,痰鸣如吼,ok,yes,
1076,痰鸣,ok,yes,
1069,痰核痞块,ok,yes,
1085,痰稀,ok,yes,
1080,痰热,ok,yes,
1083,痰少,ok,yes,
1078,痰黏,ok,yes,
1081,痰热喘咳,ok,yes,
1084,痰盛,ok,yes,
1095,疼痛夜甚,ok,yes,
1097,体乏无力,ok,yes,
1086,痰涎壅盛,ok,yes,
1089,痰饮咳喘,ok,yes,
1093,痰浊黄稠,ok,yes,
1099,体疲,ok,yes,
1090,痰壅,ok,yes,
1096,体乏,ok,yes,
1098,体倦,ok,yes,
1107,涕中带血,ok,yes,
1100,体弱,ok,yes,
1109,听衰,ok,yes,
1105,体虛,ok,yes,
