Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000923,刺黄连,https://www.dayi.org.cn/cmedical/1113766.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根和茎"", ""Function"": ""清热解毒，化痰止咳。"", ""Indication"": ""感冒发热，咽喉肿痛，肠炎，痢疾，黄疸，高血压，痨嗽咯血，跌打损伤，牙痛。"", ""Properties"": ""味苦，性寒"", ""Meridians"": ""归肝、胃经""}"
HERB000924,刺蒺藜,https://www.dayi.org.cn/cmedical/1113770.html,Toxicity,"{""Toxicity"": ""有小毒""}"
HERB000927,刺梨,https://www.dayi.org.cn/cmedical/1113764.html,Properties|Meridians,"{""Properties"": ""味酸，微涩，性凉，"", ""Meridians"": ""归胃、脾、肾经""}"
HERB000931,刺南蛇藤,https://www.dayi.org.cn/cmedical/1113796.html,Properties,"{""Properties"": ""《东北常用中草药手册》：甘，平""}"
HERB000933,刺人参,https://www.dayi.org.cn/cmedical/1113810.html,UsePart|Function|Indication|Properties,"{""UsePart"": ""根"", ""Function"": ""补气助阳，止咳，通络。"", ""Indication"": ""气虚体弱，神疲乏力，畏寒肢冷，阳痿，虚咳久嗽，风寒湿痹，糖尿病，高血压病。"", ""Properties"": ""味甘、微苦。性温""}"
HERB000935,磁石,https://www.dayi.org.cn/cmedical/300198.html,UsePart,"{""UsePart"": ""磁铁矿""}"
HERB000936,刺天茄,https://www.dayi.org.cn/cmedical/1113814.html,Toxicity|Properties,"{""Toxicity"": ""有小毒"", ""Properties"": ""味微苦，性寒""}"
HERB000940,刺五加,https://www.dayi.org.cn/cmedical/1155620.html,Toxicity,"{""Toxicity"": ""无毒""}"
HERB000950,葱花,https://www.dayi.org.cn/cmedical/1113836.html,UsePart|Function|Indication|Properties,"{""UsePart"": ""花"", ""Function"": ""散寒通阳。"", ""Indication"": ""葱花主要用于治疗脘腹冷痛，胀满。"", ""Properties"": ""味辛，性温""}"
HERB000954,葱实,https://www.dayi.org.cn/cmedical/1113844.html,UsePart|Function|Indication|Properties,"{""UsePart"": ""种子"", ""Function"": ""温肾，明目，解毒。"", ""Indication"": ""主要用于肾虚阳毒，遗精，目眩，视物昏暗，疮痈。"", ""Properties"": ""味辛，性温""}"
HERB000957,葱汁,https://www.dayi.org.cn/cmedical/1113848.html,Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""无毒"", ""UsePart"": ""茎或全株捣取之汁"", ""Function"": ""散瘀，解毒，驱虫。"", ""Indication"": ""治头痛，衄血，尿血，虫积，痈肿，跌打损伤。"", ""Properties"": ""味辛，性温"", ""Meridians"": ""归肝经""}"
