Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005257,松蒿,,https://www.dayi.org.cn/cmedical/303833.html,,Properties,"{""Properties"": ""味微辛，性凉""}"
HERB005266,松香,,https://www.dayi.org.cn/cmedical/303843.html,,Properties|Meridians,"{""Properties"": ""味苦、甘，性温。"", ""Meridians"": ""归肝、脾经""}"
HERB005268,松叶,,https://www.dayi.org.cn/cmedical/303845.html,,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""针叶"", ""Function"": ""祛风燥湿，杀虫止痒，活血安神。"", ""Indication"": ""风湿痹痛，脚气，湿疮，癣，风疹瘙痒，跌打损伤，神经衰弱，慢性肾炎，高血压病，预防乙脑、流感。"", ""Properties"": ""味苦，性温。"", ""Meridians"": ""归心、脾经""}"
HERB005271,松油,,https://www.dayi.org.cn/cmedical/1115214.html,,UsePart|Function|Indication|Properties,"{""UsePart"": ""油树脂"", ""Function"": ""祛风、杀虫。"", ""Indication"": ""疥疮、皮癣。"", ""Properties"": ""味苦，性温""}"
HERB005272,松针,,https://www.dayi.org.cn/cmedical/1117616.html,,Properties|Meridians,"{""Properties"": ""味苦，性温，"", ""Meridians"": ""归心、脾经""}"
HERB005243,丝棉木,,https://www.dayi.org.cn/cmedical/303798.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""小毒"", ""Properties"": ""味苦、辛，性凉。"", ""Meridians"": ""归肝、脾、肾经""}"
HERB005273,松子仁,,https://www.dayi.org.cn/cmedical/1117235.html,,Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""无毒"", ""UsePart"": ""种仁"", ""Function"": ""松子仁具有润肠通便、润肺止咳的功效。"", ""Indication"": ""松子仁主要用于治疗肠燥便秘、肺燥干咳等症。"", ""Properties"": ""味甘，性温，"", ""Meridians"": ""归大肠、肺经""}"
HERB005295,粟米,,https://www.dayi.org.cn/cmedical/303862.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒《别录》"", ""Properties"": ""味甘、咸，性凉"", ""Meridians"": ""归肾、脾、胃经。陈粟米：味苦，性寒""}"
HERB005302,素馨花,,https://www.dayi.org.cn/cmedical/303860.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味微苦，性平"", ""Meridians"": ""归肝经""}"
HERB005296,粟米草,,https://www.dayi.org.cn/cmedical/303863.html,,Properties|Meridians,"{""Properties"": ""味淡、涩，性凉。"", ""Meridians"": ""归胃、肺经""}"
HERB005311,酸角,,https://www.dayi.org.cn/cmedical/303873.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒《食物本草》"", ""Properties"": ""味甘、酸，性凉。"", ""Meridians"": ""归心、胃经""}"
HERB005313,酸模叶,,https://www.dayi.org.cn/cmedical/303876.html,,Properties|Meridians,"{""Properties"": ""味酸，微苦，性寒。"", ""Meridians"": ""归胃、脾经""}"
HERB005312,酸模,,https://www.dayi.org.cn/cmedical/303875.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味酸、微苦，性寒"", ""Meridians"": ""归肝、膀胱经""}"
HERB005319,酸枣仁,,https://www.dayi.org.cn/cmedical/1115571.html,,Toxicity,"{""Toxicity"": ""无毒""}"
HERB005314,酸石榴,,https://www.dayi.org.cn/cmedical/303877.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒《纲目》"", ""Properties"": ""味酸，性温。"", ""Meridians"": ""归胃、大肠经""}"
HERB005338,锁阳,,https://www.dayi.org.cn/cmedical/1155641.html,,Toxicity,"{""Toxicity"": ""无毒""}"
HERB005335,娑罗子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=460,https://www.dayi.org.cn/cmedical/303893.html,Properties|Meridians,,"{""Properties"": ""甘，温"", ""Meridians"": ""归肝、胃经""}"
HERB005390,太子参,https://ydz.chp.org.cn/#/item?bookId=1&entryId=98,,UsePart,,"{""UsePart"": ""块根""}"
HERB005415,桃枝,https://ydz.chp.org.cn/#/item?bookId=1&entryId=438,,Properties|Meridians,,"{""Properties"": ""苦，平"", ""Meridians"": ""归心、肝经""}"
HERB005434,天冬,https://ydz.chp.org.cn/#/item?bookId=1&entryId=78,,UsePart,,"{""UsePart"": ""块根""}"
