Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS002023	Myeloid Metaplasia	NA	disease	Disease or Syndrome	Hemic and Lymphatic Diseases; Pathological Conditions, Signs and Symptoms	NA	NA	T047	C15; C23	NA	NA	C0027013	NA	NA	NA	NA	NA
HBDIS002024	Myelomonocytic Leukemia	Myeloid Leukemia; Chronic Monocytic Leukemia; Atypical Chronic Myeloid Leukemia	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0027019	NA	NA	8593; 60597; 8692	NA	NA
HBDIS002025	Myeloproliferative Disease	Myeloproliferative Disorder; Myeloproliferative Disorders; Bone Marrow Cancer; Myeloproliferative Neoplasm	group	Neoplastic Process	Hemic and Lymphatic Diseases	Abnormality of the immune system; Abnormality of blood and blood-forming tissues; Neoplasm	disease of anatomical entity; disease of cellular proliferation	T191	C15	HP:0002715; HP:0001871; HP:0002664	DOID:14566; DOID:7	C0027022	D009196	HP:0005547	4960; 2226	NA	NA
HBDIS002026	Myocardial Infarction	Mi; Myocardial Infarction; Coronary Thrombosis; Acute Myocardial Infarction; Heart Attack	disease	Disease or Syndrome	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the cardiovascular system	disease of anatomical entity	T047	C14; C23	HP:0001626	DOID:7	C0027051	D009203	HP:0001658	9408; 11847; 5844	NA	NA
HBDIS002027	Myocardial Reperfusion Injury	Myocardial Reperfusion Injury	phenotype	Pathologic Function	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	NA	NA	T046	C14; C23	NA	NA	C0027055	D015428	NA	NA	NA	NA
HBDIS002028	Myocarditis	Carditis; Myocarditis, Unspecified; Myocarditis	disease	Disease or Syndrome	Cardiovascular Diseases	Abnormality of the cardiovascular system	disease of anatomical entity	T047	C14	HP:0001626	DOID:7	C0027059	D009205	HP:0012819	820	I51.4	NA
HBDIS002029	Myoclonic Disorder	NA	disease	Disease or Syndrome	Nervous System Diseases; Musculoskeletal Diseases	NA	NA	T047	C05; C10	NA	NA	C0027063	NA	NA	NA	NA	NA
HBDIS002030	Myoclonus	Myoclonus, Intention; Myoclonus; Myoclonus, Lower Extremity; Myoclonic Jerks; Myoclonus, Segmental; Myoclonus, Palatal; Myoclonus, Eyelid; Myoclonus, Upper Extremity; Myoclonus Simplex; Myoclonus, Action; Polymyoclonus; Myoclonus, Oculopalatal; Myoclonus, Nocturnal	phenotype	Sign or Symptom	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the nervous system	NA	T184	C10; C23	HP:0000707	NA	C0027066	D009207	HP:0001336	NA	G25.3	NA
HBDIS002031	Myoepithelioma	Myoepithelioma	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0027070	D009208	NA	2661	NA	NA
HBDIS002032	Myofascial Pain Syndromes	Myofascial Pain Syndromes; Myofascial Pain Syndrome	disease	Disease or Syndrome	Musculoskeletal Diseases	NA	disease of anatomical entity	T047	C05	NA	DOID:7	C0027073	D009209	NA	431	NA	NA
HBDIS002033	Myoglobinuria	Myoglobinuria	phenotype	Finding	Musculoskeletal Diseases	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system	disease of anatomical entity	T033	C05	HP:0000119; HP:0001939	DOID:7	C0027080	D009212	HP:0002913	80108	R82.1	NA
HBDIS002034	Myoma	Benign Muscle Neoplasm; Myoma	disease	Neoplastic Process	Neoplasms	Neoplasm	disease of anatomical entity; disease of cellular proliferation	T191	C04	HP:0002664	DOID:14566; DOID:7	C0027086	D009214	HP:0031460	2691	NA	NA
HBDIS002035	Myopia	Near Sightedness; Myopia; Near Sighted; Close Sighted; Nearsightedness	disease	Disease or Syndrome	Eye Diseases	Abnormality of the eye	disease of anatomical entity	T047	C11	HP:0000478	DOID:7	C0027092	D009216	HP:0000545	11830	H52.1	NA
